brand,mileage,fuel_type,transmission,accident,clean_title,price,hp,engine_displacement,is_v_engine,age
BMW,46508,2,3,1,1,11500.0,215.0,3.0,0,19
BMW,18651,2,3,0,1,59549.0,560.0,4.4,0,10
BMW,36438,2,0,0,0,39998.0,360.47076923076924,3.0,0,6
Kia,46628,2,0,0,0,15363.0,230.45454545454547,2.4,0,11
BMW,57550,2,2,0,1,29995.0,240.0,2.0,0,10
Ford,119000,2,0,0,1,18000.0,169.0,2.5,0,5
Land,36500,2,3,0,1,72000.0,550.0,5.0,0,5
Lexus,121250,2,0,1,1,13250.0,204.0,2.5,1,15
BMW,2437,3,3,0,1,78350.0,375.0,3.0,0,2
Volvo,110380,2,0,1,1,22000.0,316.0,2.0,0,7
Hyundai,149000,2,0,0,1,3850.0,173.0,2.7,1,17
Dodge,14684,2,0,0,0,37995.0,376.2916666666667,3.6,1,4
Mercedes-Benz,39000,2,0,1,1,39000.0,362.0,3.0,1,8
GMC,65212,2,0,0,1,42995.0,341.013698630137,5.3,1,6
Toyota,54000,3,1,0,1,33000.0,219.0,2.5,0,6
Alfa,26500,2,0,0,1,53900.0,505.0,2.9,1,6
Land,38356,2,0,0,0,36598.0,381.03921568627453,2.0,0,5
Alfa,21487,2,0,0,1,35345.0,336.25,2.0,0,5
Cadillac,99000,2,0,0,1,22999.0,403.0,6.2,0,18
Ford,35597,1,0,0,0,47756.0,335.81672025723475,6.2,1,6
Nissan,130307,2,0,0,1,9950.0,287.0,3.5,1,20
Subaru,178000,2,0,0,1,7600.0,170.0,2.5,0,15
Honda,160265,2,0,1,1,3000.0,115.0,1.7,0,22
Maserati,1000,2,3,0,1,36000.0,404.0,3.0,1,9
Jeep,29800,2,0,0,0,58900.0,252.40404040404042,5.7,0,3
Maserati,49750,2,3,0,1,27995.0,404.0,3.0,1,8
Lexus,121000,2,0,0,1,6348.0,220.0,3.0,1,23
Lincoln,140000,2,0,0,1,2000.0,302.0,4.6,0,20
Ford,66770,1,0,0,0,21500.0,169.0,2.5,0,7
Cadillac,61549,2,0,1,0,19998.0,354.9080459770115,3.6,0,9
Lincoln,38100,2,0,0,1,21000.0,365.0,3.5,1,9
Toyota,138071,2,2,0,1,5000.0,106.0,1.5,0,15
Mercedes-Benz,41545,3,0,0,0,71998.0,357.05725190839695,3.0,0,3
Hyundai,128000,2,2,0,1,11000.0,201.0,1.6,0,11
Toyota,48156,2,0,0,0,40368.0,264.74691358024694,4.0,1,6
